gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
NIPBL,1.422E-181,0.354250517,0.878,0.875,4.2326E-177,0
SLC25A42,3.2659E-181,1.137399588,0.351,0.225,9.7212E-177,0
GCC2,4.831E-181,0.563791614,0.726,0.673,1.438E-176,0
DEF6,3.4926E-180,0.687696206,0.641,0.562,1.0396E-175,0
RESF1,6.5185E-180,0.531714798,0.786,0.737,1.9403E-175,0
DIAPH1,4.4608E-179,0.341767681,0.862,0.83,1.3278E-174,0
TMC6,1.6152E-178,0.712944915,0.601,0.513,4.8079E-174,0
EXOC4,2.009E-178,0.401756107,0.858,0.833,5.9799E-174,0
PPP2R5A,9.2745E-178,0.509840237,0.716,0.664,2.7606E-173,0
CUL3,1.5489E-177,0.438302413,0.83,0.828,4.6106E-173,0
TERF2IP,1.6887E-177,0.482170648,0.75,0.71,5.0267E-173,0
IDH2,2.0466E-177,0.599428499,0.648,0.535,6.092E-173,0
KLF13,2.1092E-177,0.475247905,0.794,0.76,6.2782E-173,0
UBR1,6.3713E-177,0.549803688,0.724,0.675,1.8965E-172,0
ZNF292,1.2003E-176,0.437435862,0.817,0.789,3.5728E-172,0
TMEM161B,1.4596E-176,0.891525988,0.5,0.394,4.3446E-172,0
ZNF148,8.028E-176,0.468570147,0.799,0.793,2.3896E-171,0
GGA2,1.9256E-175,0.881218813,0.548,0.463,5.7316E-171,0
MAN2A1,2.3274E-175,0.531316795,0.749,0.691,6.9278E-171,0
NCK1,5.4633E-175,0.701957165,0.621,0.546,1.6262E-170,0
KLHL24,9.901E-173,0.689641712,0.632,0.558,2.9471E-168,0
VPS13B,1.4539E-172,0.320600562,0.892,0.883,4.3277E-168,0
MLLT6,1.59E-172,0.745540734,0.562,0.461,4.7329E-168,0
UHMK1,1.8989E-171,0.642632322,0.638,0.572,5.6523E-167,0
NCOA1,4.1143E-170,0.343087941,0.878,0.836,1.2247E-165,0
GRK5,1.2464E-169,0.694473125,0.595,0.497,3.7101E-165,0
KIF2A,7.6194E-169,0.255649593,0.788,0.71,2.268E-164,0
ASCL2,1.7134E-168,1.157660778,0.343,0.227,5.1002E-164,0
DOK2,2.204E-168,0.506950458,0.661,0.562,6.5605E-164,0
TTC17,4.0655E-168,0.490625657,0.793,0.755,1.2102E-163,0
DOCK11,1.5274E-167,0.432442271,0.793,0.785,4.5463E-163,0
SERPINB9,3.0249E-167,0.705286366,0.609,0.524,9.0039E-163,0
ASCC3,7.2777E-167,0.539313387,0.766,0.714,2.1663E-162,0
PTMS,1.0867E-166,0.755792557,0.425,0.294,3.2347E-162,0
ARGLU1,2.3026E-166,0.376165768,0.864,0.822,6.8539E-162,0
LINC01619,2.7225E-166,0.445193013,0.813,0.756,8.1037E-162,0
EPS15,7.0063E-166,0.457891729,0.807,0.789,2.0855E-161,0
LNPEP,5.7271E-165,0.441305392,0.779,0.749,1.7047E-160,0
KAT2B,1.0612E-164,0.566648846,0.673,0.598,3.1587E-160,0
BCAS3,1.1389E-164,0.506758541,0.769,0.713,3.3902E-160,0
EIF3A,1.2913E-164,0.377762225,0.839,0.792,3.8437E-160,0
JAKMIP2,3.0273E-164,1.064932586,0.275,0.157,9.011E-160,0
FKBP11,3.9956E-164,0.903798656,0.46,0.34,1.1893E-159,0
ITGB2,4.9784E-164,0.348680764,0.907,0.819,1.4819E-159,0
UBR2,2.6931E-163,0.382574392,0.821,0.799,8.0162E-159,0
PRPF38B,3.5081E-163,0.544648273,0.714,0.67,1.0442E-158,0
IL10RA,3.8879E-163,0.535030729,0.71,0.641,1.1573E-158,0
SIT1,9.0924E-163,0.974400635,0.401,0.274,2.7065E-158,0
BCR,9.9825E-162,0.787950083,0.492,0.38,2.9714E-157,0
IFI16,2.3242E-161,0.340921317,0.884,0.841,6.9183E-157,0
CCDC91,4.0655E-161,0.529549783,0.758,0.712,1.2101E-156,0
ATP10A,2.4859E-160,0.50877823,0.658,0.551,7.3997E-156,0
SLF1,7.567E-160,0.800713195,0.531,0.422,2.2524E-155,0
LPXN,1.5437E-159,0.792142077,0.557,0.478,4.5949E-155,0
SUCLG2,6.9197E-159,0.581001094,0.696,0.634,2.0597E-154,0
TIMD4,3.7918E-157,0.854305269,0.311,0.188,1.1287E-152,0
ZRANB2,3.1387E-156,0.431006524,0.782,0.756,9.3425E-152,0
RGS1,5.6105E-156,1.000660369,0.283,0.168,1.67E-151,0
DPP8,2.4164E-155,0.683135254,0.602,0.538,7.1925E-151,0
TPP2,3.8983E-155,0.543985475,0.7,0.652,1.1604E-150,0
CCDC12,4.3172E-155,0.520462135,0.727,0.685,1.285E-150,0
DCAF5,1.0643E-154,0.653498448,0.631,0.564,3.168E-150,0
AC010894.3,3.8674E-153,0.704259942,0.577,0.493,1.1512E-148,0
LINC00861,8.2784E-153,0.590648646,0.507,0.359,2.4641E-148,0
CORO1A,2.1649E-152,0.389878359,0.934,0.857,6.4439E-148,0
UHRF2,2.6997E-151,0.634687347,0.629,0.564,8.0359E-147,0
XYLT1,6.4471E-150,0.469916889,0.653,0.551,1.919E-145,0
ITGB1,8.4469E-149,0.321353892,0.756,0.712,2.5143E-144,0
LPCAT1,8.6196E-149,0.693745699,0.506,0.4,2.5657E-144,0
SON,1.626E-148,0.320604499,0.906,0.879,4.8399E-144,0
DUSP2,1.6691E-148,1.043419877,0.398,0.279,4.9681E-144,0
RPS6KA3,1.4089E-147,0.406766821,0.794,0.756,4.1937E-143,0
LINC01138,1.1199E-146,0.751014031,0.506,0.401,3.3335E-142,0
PRRC2B,2.3677E-146,0.589908591,0.672,0.621,7.0476E-142,0
PLEKHA2,3.4747E-146,0.56230855,0.67,0.626,1.0343E-141,0
DEC1,8.9982E-145,1.398285511,0.255,0.153,2.6784E-140,0
AKAP9,2.1515E-144,0.404932118,0.806,0.791,6.4041E-140,0
RBM33,2.3883E-144,0.484992414,0.738,0.717,7.1091E-140,0
MBNL2,1.0462E-143,0.751081808,0.515,0.417,3.1142E-139,0
KLHDC4,2.8297E-143,0.684009541,0.508,0.405,8.423E-139,0
FBXO3,2.021E-142,0.830997843,0.476,0.384,6.0158E-138,0
SASH3,3.2492E-142,0.595193317,0.639,0.578,9.6717E-138,0
VAMP2,7.1848E-142,0.666216308,0.633,0.578,2.1386E-137,0
RHOH,7.9143E-142,0.383518088,0.707,0.573,2.3558E-137,0
FCMR,1.5236E-140,0.579922242,0.467,0.334,4.5352E-136,0
BDP1,7.8155E-140,0.524963572,0.697,0.651,2.3264E-135,0
ZNF644,1.7611E-139,0.429512436,0.778,0.761,5.242E-135,0
DGKZ,1.4766E-138,0.586234529,0.633,0.57,4.3953E-134,0
SAMD9,2.1149E-138,0.49808762,0.68,0.63,6.2952E-134,0
TOP2B,2.2912E-138,0.508933595,0.678,0.639,6.8199E-134,0
KIAA2026,2.9488E-138,0.532528754,0.684,0.635,8.7773E-134,0
DENND2D,3.687E-138,0.63307909,0.553,0.448,1.0975E-133,0
LRIG1,1.014E-137,0.976737803,0.347,0.236,3.0184E-133,0
RUNX1,1.0957E-137,0.322089435,0.884,0.83,3.2614E-133,0
TSPAN14,1.3765E-137,0.496973104,0.73,0.707,4.0973E-133,0
AC006369.1,1.5182E-137,1.194887917,0.26,0.157,4.5191E-133,0
CASZ1,1.5642E-137,1.203633064,0.264,0.163,4.6559E-133,0
ITGB7,2.9006E-137,0.85126616,0.486,0.381,8.6339E-133,0
SLC25A26,8.8006E-137,0.738649583,0.539,0.459,2.6196E-132,0
AL355916.1,1.8237E-136,1.10887635,0.251,0.149,5.4285E-132,0
ARNTL,1.8455E-136,0.6965355,0.563,0.485,5.4934E-132,0
ADA,3.0963E-136,0.854793001,0.418,0.314,9.2165E-132,0
PAXX,6.2571E-136,0.84580299,0.556,0.477,1.8625E-131,0
CDK13,1.068E-135,0.423045417,0.774,0.757,3.1791E-131,0
SF3B1,5.5123E-135,0.4330223,0.809,0.789,1.6408E-130,0
MINDY3,1.083E-134,0.710849919,0.537,0.455,3.2237E-130,0
URI1,1.1368E-134,0.473100162,0.726,0.67,3.3838E-130,0
LINC00342,3.8631E-134,0.568044645,0.543,0.423,1.1499E-129,0
AXIN1,5.9357E-134,0.774242945,0.446,0.347,1.7668E-129,0
LINC00623,5.9376E-133,0.781831755,0.48,0.386,1.7674E-128,0
SAMSN1,1.6624E-132,0.274730487,0.738,0.662,4.9484E-128,0
KIAA1109,1.6724E-132,0.418574049,0.76,0.743,4.9781E-128,0
HMOX2,1.9424E-132,0.706959723,0.546,0.465,5.7818E-128,0
TBC1D32,2.0834E-132,0.976040157,0.375,0.267,6.2016E-128,0
CD5,4.2727E-131,1.084045335,0.333,0.226,1.2718E-126,0
PCNT,4.7071E-131,0.780573576,0.471,0.374,1.4011E-126,0
MED13,8.3364E-131,0.436135966,0.754,0.744,2.4814E-126,0
VOPP1,4.1913E-130,0.411293254,0.768,0.7,1.2476E-125,0
TPR,4.5059E-130,0.366998123,0.804,0.761,1.3412E-125,0
MGAT4A,1.3652E-129,0.511420673,0.596,0.492,4.0636E-125,0
PCNX2,1.8455E-129,0.711145284,0.504,0.406,5.4932E-125,0
PTPRA,2.7039E-129,0.371871619,0.798,0.779,8.0486E-125,0
ORMDL3,3.9666E-129,1.02334805,0.325,0.223,1.1807E-124,0
USP36,5.0787E-128,0.818232726,0.489,0.408,1.5117E-123,0
USP34,6.6295E-128,0.285789051,0.861,0.858,1.9733E-123,0
RNF213-AS1,8.4224E-128,0.699574973,0.532,0.445,2.507E-123,0
KLRC2,1.8545E-127,0.390565065,0.298,0.182,5.5202E-123,0
ACTR2,5.8358E-127,0.255473218,0.895,0.895,1.7371E-122,0
WDR7,1.4972E-126,0.504773245,0.699,0.664,4.4566E-122,0
S1PR4,2.0036E-126,0.497051479,0.645,0.575,5.964E-122,0
AC023424.3,2.2134E-126,0.682608783,0.568,0.499,6.5883E-122,0
CHIC2,3.7503E-126,0.576253315,0.617,0.571,1.1163E-121,0
ATE1,1.2439E-125,0.550136272,0.622,0.558,3.7025E-121,0
TNFRSF1B,1.3711E-125,0.364836415,0.724,0.632,4.0811E-121,0
GON4L,3.4789E-125,0.574870242,0.642,0.594,1.0355E-120,0
RC3H1,1.1385E-124,0.440270643,0.752,0.748,3.3888E-120,0
PDZD8,7.3936E-124,0.613210354,0.581,0.515,2.2008E-119,0
UCP2,8.2823E-124,0.473766182,0.688,0.63,2.4653E-119,0
CNOT2,1.0075E-123,0.424246959,0.751,0.74,2.999E-119,0
KCNAB2,1.4281E-123,0.520900501,0.686,0.633,4.2508E-119,0
RNF38,1.7445E-123,0.446871101,0.745,0.732,5.1926E-119,0
PPP4R3B,4.3597E-123,0.474163424,0.715,0.705,1.2977E-118,0
RNGTT,6.5233E-123,0.471885719,0.712,0.682,1.9417E-118,0
ESYT2,1.0025E-122,0.467243148,0.75,0.73,2.9841E-118,0
RHOF,3.7632E-122,0.711091225,0.489,0.398,1.1201E-117,0
ESCO1,4.0202E-122,0.632199389,0.587,0.536,1.1966E-117,0
TTC38,8.2424E-122,0.516075042,0.36,0.25,2.4534E-117,0
NIBAN1,8.2666E-122,0.316479108,0.764,0.676,2.4606E-117,0
SNRNP200,1.5941E-121,0.632649815,0.582,0.519,4.7449E-117,0
HERPUD2,2.1091E-121,0.655699801,0.579,0.527,6.278E-117,0
MAP3K5,6.0668E-120,0.330334682,0.807,0.773,1.8059E-115,0
KDM5D,7.8583E-120,0.954003354,0.289,0.189,2.3391E-115,0
RAP2A,1.8382E-119,0.976448828,0.376,0.286,5.4715E-115,0
VIRMA,1.9121E-119,0.657788428,0.573,0.517,5.6914E-115,0
ACIN1,5.9939E-119,0.484647016,0.691,0.667,1.7842E-114,0
USP33,2.6793E-118,0.464211055,0.707,0.693,7.9753E-114,0
DSTN,4.9913E-118,0.403142053,0.636,0.558,1.4857E-113,0
MT-ND6,6.0531E-118,0.467609541,0.632,0.549,1.8018E-113,0
MON2,1.0264E-117,0.446768282,0.754,0.746,3.0551E-113,0
FRYL,2.1624E-117,0.356127937,0.813,0.806,6.4366E-113,0
ITSN2,2.1823E-117,0.349594626,0.811,0.809,6.4959E-113,0
MPHOSPH9,6.2249E-117,0.563126429,0.552,0.458,1.8529E-112,0
USP47,1.3047E-116,0.383056077,0.769,0.761,3.8835E-112,0
RAB8B,2.2549E-116,0.382967801,0.768,0.745,6.7119E-112,0
PSPC1,6.7035E-116,0.466599005,0.712,0.686,1.9954E-111,0
GYPC,1.4805E-115,0.478746752,0.646,0.544,4.4067E-111,0
ACSF3,7.458E-115,0.844263768,0.44,0.365,2.2199E-110,0
HTT,3.9357E-114,0.512995223,0.661,0.627,1.1715E-109,0
GPR171,4.1625E-114,0.670667317,0.388,0.278,1.239E-109,0
LIMD2,4.8423E-114,0.408395167,0.807,0.757,1.4414E-109,0
ZNRF2,4.9835E-114,0.569863983,0.631,0.583,1.4834E-109,0
PPP1CA,6.6982E-114,0.473704748,0.738,0.689,1.9938E-109,0
ANKRD36,7.2763E-114,0.593709197,0.542,0.442,2.1659E-109,0
BBX,3.3639E-113,0.363066736,0.782,0.76,1.0013E-108,0
DYNC1H1,4.231E-113,0.469401955,0.707,0.68,1.2594E-108,0
ERCC5,4.7704E-113,0.698751524,0.522,0.46,1.42E-108,0
RNF115,6.5979E-113,0.567467649,0.628,0.588,1.9639E-108,0
AUH,8.4443E-113,0.698183392,0.526,0.455,2.5135E-108,0
ZNF800,1.0164E-112,0.58620206,0.606,0.561,3.0255E-108,0
AK3,1.1987E-112,0.739246289,0.451,0.366,3.5681E-108,0
CENPC,2.0031E-112,0.543257718,0.641,0.602,5.9624E-108,0
GALNT10,4.1815E-112,0.665670358,0.538,0.465,1.2447E-107,0
TMEM87A,1.0917E-111,0.533481297,0.672,0.637,3.2496E-107,0
GIGYF2,4.9438E-111,0.483988875,0.691,0.679,1.4716E-106,0
ATG5,5.1765E-111,0.535076296,0.651,0.611,1.5409E-106,0
SMYD3,5.5031E-111,0.319734998,0.735,0.648,1.638E-106,0
SUPT3H,8.7609E-111,0.507049827,0.57,0.476,2.6078E-106,0
BICDL1,1.307E-110,0.423017699,0.49,0.367,3.8905E-106,0
TMEM135,1.4939E-110,0.62836885,0.56,0.489,4.4467E-106,0
LANCL1,6.0648E-110,0.981085491,0.337,0.246,1.8052E-105,0
PDE7A,6.9684E-110,0.390976505,0.741,0.692,2.0742E-105,0
NBAS,8.5954E-110,0.530587066,0.656,0.622,2.5585E-105,0
CREBRF,1.0072E-109,0.492921427,0.673,0.638,2.998E-105,0
PACS1,1.1449E-109,0.316636952,0.78,0.73,3.408E-105,0
EEF1D,1.3315E-109,0.277668384,0.911,0.853,3.9632E-105,0
OXNAD1,3.039E-109,0.507913026,0.529,0.437,9.046E-105,0
LRCH3,1.5751E-108,0.560811677,0.63,0.589,4.6885E-104,0
SLTM,1.5461E-107,0.360905211,0.785,0.769,4.6023E-103,0
ARID2,2.2645E-107,0.394295775,0.774,0.76,6.7406E-103,0
PPHLN1,3.0141E-107,0.492718997,0.691,0.655,8.9718E-103,0
ABI1,7.2295E-107,0.338421084,0.781,0.786,2.1519E-102,0
GOLGA8B,1.4634E-106,0.726995199,0.435,0.34,4.356E-102,0
PATL2,2.7186E-106,0.872168225,0.416,0.325,8.0923E-102,0
TRPM7,5.6877E-106,0.435988506,0.705,0.674,1.693E-101,0
KIF21B,2.3501E-105,0.738917478,0.395,0.299,6.9953E-101,0
FBXO33,4.6047E-105,0.543876084,0.633,0.592,1.3706E-100,0
EHMT1,5.4504E-105,0.373476684,0.751,0.74,1.6224E-100,0
AL360091.3,6.0593E-105,0.965890811,0.306,0.214,1.8036E-100,0
DENND1C,2.1804E-104,0.772847645,0.442,0.369,6.4903E-100,0
MLLT3,2.607E-104,0.341365969,0.605,0.492,7.7601E-100,0
NAP1L4,8.1181E-104,0.316748061,0.783,0.732,2.4164E-99,0
TBC1D19,2.0691E-103,0.958164748,0.282,0.191,6.159E-99,0
ARMC2,6.0317E-103,1.110424651,0.276,0.189,1.7954E-98,0
CCDC107,6.3855E-103,0.758627463,0.457,0.386,1.90071E-98,0
RBM25,8.9336E-103,0.339515403,0.808,0.797,2.65918E-98,0
ARHGAP35,9.4927E-103,0.70961297,0.469,0.396,2.82559E-98,0
TRIM33,1.1805E-102,0.43030866,0.717,0.707,3.5139E-98,0
DDX5,1.2395E-102,0.304295022,0.956,0.91,3.68963E-98,0
CCNH,1.2741E-102,0.563918908,0.693,0.67,3.79236E-98,0
MAP4K1,3.9701E-102,0.873093672,0.381,0.295,1.18173E-97,0
ARIH2,4.4615E-102,0.560159691,0.613,0.574,1.32801E-97,0
ARFGEF1,1.4613E-101,0.354229952,0.786,0.789,4.34962E-97,0
SEPTIN1,1.8694E-101,0.658591958,0.497,0.401,5.56442E-97,0
APOL6,1.1792E-100,0.364393436,0.785,0.738,3.50988E-96,0
CARNMT1,1.6127E-100,0.907685312,0.379,0.299,4.80029E-96,0
AEBP2,1.7354E-100,0.558517305,0.596,0.545,5.16551E-96,0
SP140L,2.537E-100,0.526819292,0.626,0.592,7.55165E-96,0
EXOC2,3.4464E-100,0.571066179,0.606,0.56,1.02587E-95,0
ICE1,6.3928E-100,0.613361376,0.59,0.552,1.90287E-95,0
PPP6R1,8.1822E-100,0.516266858,0.571,0.512,2.43552E-95,0
RBM27,1.7513E-99,0.481463137,0.676,0.654,5.21302E-95,0
HNRNPUL1,2.2855E-99,0.496066376,0.657,0.634,6.80291E-95,0
ARID5B,3.1074E-99,0.283043201,0.716,0.63,9.24946E-95,0
HS3ST3B1,3.8085E-99,0.75698761,0.322,0.229,1.13365E-94,0
PLCG1,4.0606E-99,0.915594859,0.287,0.197,1.20869E-94,0
ARHGAP45,2.04676E-98,0.43464497,0.675,0.647,6.09238E-94,0
C19orf12,8.47847E-97,0.745110999,0.425,0.35,2.5237E-92,0
DENND6A,8.48805E-97,0.562932272,0.598,0.557,2.52655E-92,0
IDS,1.30434E-96,0.563851488,0.566,0.514,3.8825E-92,0
ABI3,1.67591E-96,0.919605945,0.404,0.324,4.98851E-92,0
KDM3A,2.61668E-96,0.725555159,0.452,0.379,7.78882E-92,0
AL157402.2,1.99449E-95,0.788866119,0.404,0.327,5.93679E-91,0
PAFAH1B1,4.43839E-95,0.313354928,0.803,0.811,1.32113E-90,0
PTPN7,5.82843E-95,0.616052428,0.513,0.427,1.73489E-90,0
LINC00649,1.39686E-94,0.864023957,0.34,0.253,4.15789E-90,0
PPP4R3A,1.45509E-94,0.434380826,0.689,0.67,4.33123E-90,0
ATP2A3,1.66705E-94,0.346568703,0.563,0.479,4.96214E-90,0
ZFC3H1,2.43629E-94,0.384812562,0.727,0.728,7.25186E-90,0
NSF,2.60152E-94,0.665246716,0.523,0.47,7.74369E-90,0
RBM38,1.16192E-93,0.563313316,0.479,0.404,3.45858E-89,0
SLC5A3,1.51374E-93,0.87797393,0.347,0.267,4.50581E-89,0
USP25,1.57291E-93,0.321896291,0.813,0.799,4.68193E-89,0
RAP1GDS1,1.8926E-93,0.426538658,0.707,0.681,5.6335E-89,0
YTHDC1,2.39343E-93,0.393217927,0.735,0.731,7.12428E-89,0
WDR26,3.14207E-93,0.337575772,0.705,0.684,9.35269E-89,0
RSRP1,3.27706E-93,0.346188697,0.779,0.766,9.75451E-89,0
FAM78A,7.88587E-93,0.768364377,0.441,0.377,2.34731E-88,0
TSPAN32,1.10828E-92,0.642714618,0.42,0.338,3.29891E-88,0
ADAT2,4.95275E-92,0.989384537,0.283,0.203,1.47423E-87,0
VPS26B,5.85148E-92,0.800974768,0.386,0.314,1.74175E-87,0
RNF169,6.1482E-92,0.528074055,0.616,0.577,1.83007E-87,0
ARHGEF6,1.03616E-91,0.503275655,0.611,0.572,3.08424E-87,0
FUT11,1.06906E-91,0.98764768,0.324,0.243,3.18217E-87,0
MPHOSPH8,1.14748E-91,0.428984224,0.734,0.721,3.41559E-87,0
ETNK1,1.52155E-91,0.465154867,0.661,0.642,4.52903E-87,0
TSHZ1,3.90678E-91,0.829696542,0.374,0.294,1.16289E-86,0
SYTL1,5.43126E-91,0.734206808,0.46,0.384,1.61667E-86,0
KIFAP3,6.25319E-91,0.466639389,0.476,0.397,1.86133E-86,0
SIRT2,6.37855E-91,0.739170944,0.446,0.378,1.89864E-86,0
CASTOR3,1.9722E-90,0.764824765,0.355,0.269,5.87046E-86,0
LINC00513,3.15133E-90,0.811178162,0.452,0.38,9.38026E-86,0
RBM26,4.29459E-90,0.398052458,0.715,0.705,1.27833E-85,0
AL049869.3,6.43541E-90,1.037780146,0.252,0.173,1.91557E-85,0
RALGDS,4.3928E-89,0.73191946,0.435,0.364,1.30756E-84,0
CDKN2A,6.8707E-89,1.096910072,0.265,0.185,2.04513E-84,0
FAM160B1,1.17111E-88,0.565843751,0.527,0.465,3.48593E-84,0
APPL2,1.70037E-88,0.713683681,0.457,0.391,5.06133E-84,0
MED23,6.37902E-88,0.603538244,0.534,0.489,1.89878E-83,0
RAC2,7.48477E-88,0.282408445,0.829,0.792,2.22792E-83,0
AL137856.1,7.78174E-88,0.945709107,0.27,0.189,2.31631E-83,0
TAPBP,8.82282E-88,0.307727987,0.819,0.808,2.6262E-83,0
PBXIP1,1.51425E-87,0.544127764,0.487,0.399,4.50731E-83,0
PRPF40A,1.628E-87,0.353742339,0.759,0.753,4.8459E-83,0
RFC1,1.14965E-86,0.391859452,0.676,0.629,3.42204E-82,0
LSM14A,1.92951E-86,0.330400731,0.774,0.779,5.74338E-82,0
LMAN1,2.24065E-86,0.530627673,0.528,0.458,6.66951E-82,0
ANKHD1,2.92726E-86,0.301359024,0.812,0.818,8.71329E-82,0
LSP1,3.63476E-86,0.341546874,0.82,0.768,1.08192E-81,0
REST,5.28788E-86,0.561368423,0.574,0.536,1.57399E-81,0
CDC42SE1,6.08297E-86,0.339460595,0.735,0.716,1.81066E-81,0
WDR60,9.72978E-86,0.796077519,0.363,0.286,2.89617E-81,0
SERINC1,3.36462E-85,0.497600039,0.641,0.627,1.00151E-80,0
SPTAN1,3.71547E-85,0.560425044,0.571,0.518,1.10595E-80,0
ZNF276,5.31708E-85,0.679977582,0.441,0.372,1.58268E-80,0
ANKIB1,1.70529E-84,0.44787841,0.674,0.646,5.07597E-80,0
IL12RB1,3.17725E-84,0.826660567,0.38,0.312,9.45741E-80,0
TTC19,4.47056E-84,0.603140249,0.561,0.523,1.33071E-79,0
PEX14,4.5353E-84,0.616795062,0.518,0.461,1.34998E-79,0
NCOA7,5.62944E-84,0.402480361,0.659,0.623,1.67566E-79,0
TRIM62,6.08655E-84,0.894500321,0.258,0.179,1.81172E-79,0
RFTN1,1.93003E-83,0.489902753,0.598,0.545,5.74492E-79,0
DYRK2,2.39464E-83,0.74921327,0.378,0.303,7.12788E-79,0
EFR3A,3.32018E-83,0.426013847,0.697,0.687,9.88286E-79,0
HCLS1,3.75719E-83,0.389787776,0.763,0.75,1.11837E-78,0
SNX25,7.92277E-83,0.693884226,0.365,0.281,2.35829E-78,0
SDHA,1.87637E-82,0.565851858,0.568,0.532,5.58521E-78,0
RASSF1,3.07318E-82,0.704892016,0.477,0.419,9.14764E-78,0
DOCK5,6.39803E-82,0.695479007,0.523,0.467,1.90444E-77,0
WHAMM,7.60867E-82,0.469212428,0.573,0.522,2.2648E-77,0
FBXW5,8.33039E-82,0.553387078,0.496,0.447,2.47962E-77,0
DAXX,9.53319E-82,0.756514048,0.406,0.342,2.83765E-77,0
TRIR,2.24827E-81,0.336521168,0.779,0.762,6.69219E-77,0
KDM4A,2.31389E-81,0.824940699,0.359,0.29,6.88752E-77,0
LMBRD1,2.55494E-81,0.432192021,0.668,0.654,7.60503E-77,0
RETREG3,3.84781E-81,0.692077752,0.45,0.392,1.14534E-76,0
DMTF1,6.57459E-81,0.497590125,0.587,0.553,1.95699E-76,0
NEMF,9.98712E-81,0.417088854,0.707,0.709,2.97277E-76,0
TSEN15,1.13563E-80,0.762657789,0.395,0.329,3.38032E-76,0
CDK11A,1.51142E-80,0.534512766,0.547,0.503,4.49889E-76,0
LINC01578,1.88286E-80,0.312696058,0.792,0.789,5.60453E-76,0
TRIB2,1.89589E-80,0.781573064,0.304,0.224,5.6433E-76,0
ARL6IP5,2.27322E-80,0.251637494,0.802,0.786,6.76647E-76,0
ZFAND6,2.35756E-80,0.353196342,0.749,0.757,7.01751E-76,0
INO80D,5.39532E-80,0.531927043,0.582,0.551,1.60597E-75,0
LPIN1,6.60517E-80,0.688077659,0.429,0.36,1.9661E-75,0
RAPGEF6,2.11858E-79,0.316601518,0.737,0.711,6.30616E-75,0
EIF4E3,2.19621E-79,0.539449028,0.585,0.547,6.53723E-75,0
PCID2,3.00264E-79,0.87238072,0.371,0.306,8.93766E-75,0
ADAM19,3.4658E-79,0.31140646,0.486,0.387,1.03163E-74,0
GTDC1,5.41304E-79,0.525932924,0.551,0.487,1.61125E-74,0
CCDC186,6.44694E-79,0.56714184,0.55,0.513,1.919E-74,0
MIA2,6.6528E-79,0.487880249,0.607,0.583,1.98027E-74,0
FUBP1,7.38445E-79,0.368419832,0.73,0.72,2.19806E-74,0
SMG1,7.96285E-79,0.318942299,0.766,0.767,2.37022E-74,0
GTF3C1,9.43651E-79,0.642445146,0.441,0.378,2.80887E-74,0
SNHG14,9.61232E-79,0.553482814,0.514,0.451,2.8612E-74,0
FBXO32,1.13017E-78,0.977878966,0.256,0.177,3.36407E-74,0
SGPP1,3.55985E-78,0.70705708,0.384,0.31,1.05962E-73,0
GSK3B,7.29626E-78,0.309956261,0.76,0.758,2.1718E-73,0
GALNT3,1.1159E-77,0.822044198,0.309,0.233,3.32159E-73,0
GATA3,2.36243E-77,0.47084371,0.471,0.383,7.03202E-73,0
NIN,2.73551E-77,0.438144599,0.732,0.726,8.14252E-73,0
RNF166,2.92022E-77,0.678921324,0.509,0.462,8.69231E-73,0
PPP1R18,4.45603E-77,0.367795068,0.658,0.643,1.32638E-72,0
CPT1A,5.15099E-77,0.548619557,0.554,0.514,1.53324E-72,0
SLAIN1,1.89123E-76,0.935514515,0.267,0.192,5.62943E-72,0
RAB27A,2.62297E-76,0.312446628,0.738,0.687,7.80754E-72,0
SCAF8,4.5185E-76,0.432856221,0.661,0.651,1.34498E-71,0
KLHL28,4.99124E-76,0.738957315,0.429,0.367,1.48569E-71,0
MSH3,5.91507E-76,0.541060329,0.592,0.561,1.76068E-71,0
FOXJ3,7.22116E-76,0.434910325,0.681,0.675,2.14945E-71,0
SCFD1,4.6416E-75,0.358289392,0.745,0.747,1.38162E-70,0
PNN,4.69658E-75,0.269668611,0.788,0.766,1.39798E-70,0
FOXO1,4.93575E-75,0.340678172,0.68,0.64,1.46918E-70,0
PPP2R5E,9.59112E-75,0.38240085,0.717,0.712,2.85489E-70,0
MARK3,1.13924E-74,0.290456166,0.762,0.766,3.39105E-70,0
HMGXB3,1.7494E-74,0.775935463,0.415,0.364,5.20726E-70,0
SFMBT2,2.16989E-74,0.270615374,0.7,0.627,6.45889E-70,0
CEACAM21,6.15845E-74,0.59525639,0.425,0.352,1.83312E-69,0
BCLAF1,1.80281E-73,0.357015039,0.744,0.74,5.36625E-69,0
TUT7,1.80524E-73,0.296626637,0.728,0.713,5.37348E-69,0
ANKRD13C,2.89849E-73,0.614113794,0.497,0.446,8.62764E-69,0
TAP1,4.85322E-73,0.340942705,0.737,0.693,1.44461E-68,0
ADD1,8.48434E-73,0.367446468,0.677,0.671,2.52545E-68,0
DLG1,1.05659E-72,0.350493576,0.734,0.722,3.14505E-68,0
ZFY,1.12196E-72,0.661654519,0.302,0.222,3.33964E-68,0
BTG3,1.81174E-72,0.681366138,0.422,0.351,5.39283E-68,0
PHF3,1.96773E-72,0.378277351,0.713,0.718,5.85714E-68,0
