gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
OPTN,0,0.801743445,0.805,0.61,0,0
SBK1,0,1.442556739,0.372,0.178,0,0
KIF21A,0,1.398604153,0.422,0.229,0,0
UTY,0,0.693715101,0.731,0.538,0,0
HIVEP3,0,1.03147634,0.777,0.585,0,0
TMEM181,0,1.068285838,0.72,0.528,0,0
AC087854.1,0,1.175945233,0.537,0.346,0,0
P2RY8,0,1.341626283,0.887,0.696,0,0
PRR5L,0,1.023718508,0.509,0.318,0,0
RNF125,0,0.933412432,0.776,0.586,0,0
PAM,0,0.937926862,0.661,0.473,0,0
LINC00612,0,2.466522456,0.257,0.069,0,0
TFDP2,0,0.638162281,0.704,0.516,0,0
ATP8A1,0,0.976350876,0.813,0.626,0,0
AC015849.1,0,1.561280994,0.327,0.141,0,0
PPP3CC,0,0.997488355,0.863,0.679,0,0
STK39,0,0.651010225,0.809,0.626,0,0
ZFYVE28,0,1.17771658,0.461,0.278,0,0
SLC4A7,0,1.029370971,0.775,0.593,0,0
PLCXD2,0,1.45487532,0.363,0.181,0,0
ITGAL,0,1.004897823,0.907,0.727,0,0
RFX3-AS1,0,1.150457108,0.526,0.347,0,0
TTC16,0,2.056932477,0.274,0.095,0,0
ABCD2,0,1.230473348,0.407,0.228,0,0
SLFN5,0,0.993983547,0.822,0.645,0,0
RAB29,0,0.946056336,0.625,0.45,0,0
PTPN22,0,0.925183502,0.724,0.55,0,0
CEMIP2,0,1.091366094,0.847,0.673,0,0
ATP2B4,0,0.860560391,0.741,0.569,0,0
AC079793.1,0,0.653106431,0.852,0.681,0,0
STK17A,0,0.860541484,0.856,0.685,0,0
ID2,0,0.695382506,0.754,0.585,0,0
MIR4435-2HG,0,0.779751753,0.779,0.61,0,0
PRSS23,0,1.522802696,0.289,0.121,0,0
SLC9A3R1,0,0.934209618,0.719,0.551,0,0
CCSER2,0,0.958021802,0.875,0.708,0,0
OSBPL7,0,1.467289936,0.328,0.162,0,0
BCL2L11,0,1.071580498,0.524,0.36,0,0
FAM53B,0,0.971596071,0.695,0.532,0,0
LYAR,0,0.834583332,0.658,0.496,0,0
ERN1,0,0.897041528,0.643,0.481,0,0
PXN,0,0.920051964,0.687,0.526,0,0
ZNF683,0,1.777383201,0.255,0.095,0,0
CYFIP2,0,0.818668316,0.805,0.646,0,0
CD99,0,0.419695575,0.85,0.691,0,0
AHNAK,0,0.539397879,0.848,0.69,0,0
RASA3,0,0.896393696,0.869,0.711,0,0
MNAT1,0,0.88823898,0.638,0.48,0,0
CD81,0,0.870219827,0.71,0.552,0,0
TBC1D10C,0,0.8987494,0.705,0.548,0,0
SP140,0,0.8319964,0.761,0.615,0,0
TLE5,0,0.68529207,0.904,0.759,0,0
RASAL3,0,0.932836732,0.655,0.51,0,0
AKNA,0,0.966803282,0.855,0.712,0,0
PDE3B,0,0.629276012,0.812,0.669,0,0
CCDC88C,0,0.810508166,0.867,0.725,0,0
ITGA4,0,0.841637737,0.922,0.783,0,0
GNPTAB,0,0.868059993,0.741,0.602,0,0
ATXN1,0,0.920156272,0.943,0.804,0,0
EMB,0,0.820269713,0.838,0.7,0,0
PARP8,0,1.079875256,0.958,0.82,0,0
LRBA,0,0.806221339,0.948,0.81,0,0
SSBP3,0,0.831239923,0.683,0.546,0,0
ARHGEF3,0,0.87036604,0.862,0.726,0,0
LITAF,0,0.741510048,0.903,0.767,0,0
C5orf56,0,0.895110556,0.828,0.693,0,0
TMC8,0,0.745647378,0.722,0.587,0,0
ABHD17A,0,0.70232011,0.791,0.656,0,0
FLNA,0,0.638148747,0.925,0.79,0,0
AP001011.1,0,0.896053341,0.813,0.678,0,0
RFX7,0,0.805821489,0.762,0.628,0,0
BTN3A1,0,0.973491701,0.668,0.535,0,0
CNOT6L,0,1.02450287,0.892,0.763,0,0
RAPGEF1,0,0.968493546,0.88,0.751,0,0
CHD3,0,0.85481727,0.686,0.557,0,0
YARS,0,0.881109302,0.65,0.523,0,0
NFATC3,0,0.930742505,0.861,0.736,0,0
CLEC2B,0,0.806941324,0.804,0.68,0,0
VPS37B,0,0.90427696,0.69,0.566,0,0
PPP2R5C,0,0.974448851,0.949,0.825,0,0
MYO1G,0,0.805976585,0.719,0.596,0,0
SUN2,0,0.817512797,0.799,0.676,0,0
RPTOR,0,0.849542186,0.701,0.581,0,0
DDHD1,0,0.795553045,0.732,0.614,0,0
RBL2,0,0.83385981,0.81,0.693,0,0
ACAP1,0,0.676551039,0.757,0.64,0,0
ST6GAL1,0,0.728284166,0.76,0.644,0,0
TRAF3IP3,0,0.663356183,0.823,0.708,0,0
NAA50,0,0.84374978,0.721,0.606,0,0
CEP85L,0,0.759648449,0.788,0.674,0,0
CD52,0,0.556288657,0.93,0.817,0,0
DNAJC1,0,0.686892634,0.817,0.705,0,0
INPP4A,0,0.728032626,0.8,0.689,0,0
PIK3R1,0,0.780243791,0.806,0.695,0,0
ARAP2,0,0.740747881,0.9,0.789,0,0
CDK17,0,0.839082494,0.806,0.698,0,0
RNF19A,0,0.896408766,0.835,0.728,0,0
RAP1GAP2,0,0.626017411,0.863,0.758,0,0
CASP8,0,0.797916972,0.801,0.704,0,0
BTN3A2,0,0.767705267,0.739,0.642,0,0
PIP4K2A,0,0.829096594,0.94,0.843,0,0
ARHGEF1,0,0.812815161,0.765,0.67,0,0
PSME4,0,0.879342298,0.792,0.698,0,0
RPL13A,0,0.392872084,0.982,0.888,0,0
RABGAP1L,0,0.769428645,0.968,0.875,0,0
IQGAP2,0,0.62102565,0.944,0.856,0,0
ATF7IP,0,0.706283581,0.853,0.765,0,0
RASA2,0,0.686068601,0.907,0.82,0,0
MAN1A2,0,0.702071085,0.763,0.677,0,0
PIK3R5,0,0.679980703,0.887,0.801,0,0
ARHGAP25,0,0.663418848,0.832,0.747,0,0
PTPRJ,0,0.506796721,0.903,0.823,0,0
BIN2,0,0.65832613,0.869,0.79,0,0
NLRC5,0,0.728983279,0.854,0.776,0,0
PTPRC,0,0.537698102,0.999,0.926,0,0
FOXN3,0,0.490716876,0.935,0.867,0,0
DDX6,0,0.668864781,0.822,0.754,0,0
COG5,0,0.744037049,0.853,0.791,0,0
GOLGA4,0,0.687335116,0.839,0.778,0,0
GLG1,0,0.668483833,0.865,0.804,0,0
ARL15,0,0.598925073,0.856,0.796,0,0
INPP5D,0,0.544280426,0.868,0.809,0,0
EPB41,0,0.626552869,0.878,0.82,0,0
CHST11,0,0.446292505,0.936,0.88,0,0
OGA,0,0.685529358,0.832,0.776,0,0
RNF213,0,0.493449055,0.981,0.926,0,0
ARHGAP15,0,0.422401801,0.989,0.935,0,0
SRPK2,0,0.591760535,0.893,0.841,0,0
MACF1,0,0.630553541,0.908,0.86,0,0
FNBP1,0,0.538147639,0.918,0.87,0,0
STK38,0,0.559403865,0.843,0.795,0,0
ITCH,0,0.602296427,0.852,0.804,0,0
STK10,0,0.4814693,0.904,0.857,0,0
CYTH1,0,0.489976137,0.904,0.857,0,0
ATRX,0,0.692323107,0.881,0.837,0,0
MYH9,0,0.473219391,0.914,0.871,0,0
APBB1IP,0,0.523950013,0.919,0.877,0,0
WIPF1,0,0.621636474,0.91,0.869,0,0
PNISR,0,0.504338572,0.876,0.835,0,0
KDM5A,0,0.614747023,0.816,0.776,0,0
RICTOR,0,0.591629615,0.853,0.815,0,0
PPP1R12A,0,0.679725981,0.922,0.885,0,0
CELF2,0,0.365993734,0.972,0.939,0,0
BPTF,0,0.527838367,0.875,0.842,0,0
UTRN,0,0.368681129,0.96,0.928,0,0
SMCHD1,0,0.445536202,0.964,0.932,0,0
SEPTIN7,0,0.457840501,0.903,0.872,0,0
HLA-E,0,0.351407441,0.993,0.967,0,0
CDC42SE2,0,0.494315881,0.947,0.921,0,0
HERC1,0,0.558771747,0.853,0.828,0,0
BIRC6,0,0.447826148,0.91,0.886,0,0
NCOR1,0,0.507572897,0.884,0.861,0,0
PRRC2C,0,0.414553518,0.91,0.888,0,0
STK4,0,0.449045606,0.901,0.88,0,0
SP100,0,0.467944199,0.923,0.903,0,0
RAP1B,0,0.366919459,0.931,0.921,0,0
RGS9,9.2891E-307,1.286272743,0.303,0.143,2.765E-302,0
MATK,2.7903E-305,1.004065741,0.447,0.257,8.3055E-301,0
FCGR3A,1.0356E-304,0.433059242,0.498,0.297,3.0827E-300,0
DENND1B,1.1807E-304,0.664294199,0.779,0.688,3.5145E-300,0
HPGD,1.6136E-304,1.234035181,0.352,0.183,4.803E-300,0
FAM214A,5.2556E-304,0.826599273,0.639,0.497,1.5644E-299,0
LINC02446,1.012E-301,1.252386626,0.306,0.144,3.0124E-297,0
LBH,1.1826E-301,0.880366366,0.579,0.396,3.52E-297,0
PRPF4B,1.2158E-301,0.57209272,0.829,0.758,3.6188E-297,0
ARHGAP30,5.2318E-301,0.55522922,0.817,0.775,1.5573E-296,0
DOCK10,1.2283E-297,0.397916819,0.924,0.808,3.6562E-293,0
EPC1,7.0252E-296,0.577334632,0.827,0.772,2.0911E-291,0
SP4,7.7436E-296,0.912843498,0.603,0.452,2.305E-291,0
SOS1,8.9877E-295,0.565541208,0.832,0.776,2.6753E-290,0
MED15,1.3915E-294,0.792938654,0.708,0.623,4.1421E-290,0
ATG2A,9.1123E-294,1.138546102,0.487,0.326,2.7124E-289,0
ZEB2,5.7679E-292,0.344292319,0.904,0.686,1.7169E-287,0
CLSTN1,8.2956E-292,0.925330938,0.605,0.47,2.4693E-287,0
OGT,1.0695E-291,0.642361193,0.767,0.699,3.1833E-287,0
IL2RG,1.146E-291,0.617805491,0.81,0.662,3.411E-287,0
MYO1F,6.518E-290,0.381583043,0.922,0.814,1.9401E-285,0
PCSK7,7.5544E-290,0.782540157,0.68,0.572,2.2487E-285,0
ZBP1,9.9014E-290,0.9040299,0.544,0.374,2.9473E-285,0
PCNX1,1.5489E-285,0.528320281,0.84,0.781,4.6106E-281,0
DDX17,4.1543E-285,0.41141644,0.896,0.881,1.2366E-280,0
TRAPPC10,1.1321E-284,0.583898584,0.794,0.729,3.3698E-280,0
RB1CC1,8.1217E-284,0.680107367,0.761,0.715,2.4175E-279,0
NKTR,3.0427E-283,0.593061113,0.803,0.739,9.057E-279,0
SIDT1,2.2118E-282,0.861325733,0.562,0.385,6.5835E-278,0
PCED1B,1.055E-281,0.542446349,0.756,0.578,3.1403E-277,0
ANXA6,1.3071E-281,0.671276159,0.74,0.606,3.8908E-277,0
TUT4,5.1064E-281,0.566078149,0.801,0.715,1.52E-276,0
CD226,2.3077E-278,0.532303937,0.609,0.414,6.8691E-274,0
CRIM1,7.5196E-276,1.115262568,0.41,0.243,2.2383E-271,0
SMAD7,7.3212E-274,1.279902755,0.361,0.204,2.1792E-269,0
HELZ,9.6534E-274,0.475276488,0.84,0.809,2.8734E-269,0
GBP5,1.8689E-272,0.511930538,0.805,0.688,5.563E-268,0
TERF1,5.2138E-272,0.924392099,0.593,0.469,1.5519E-267,0
APMAP,8.6975E-272,0.9699546,0.544,0.4,2.5889E-267,0
ATP11B,1.8789E-270,0.461365002,0.855,0.83,5.5927E-266,0
VPS13A,4.7171E-270,0.78024181,0.645,0.5,1.4041E-265,0
BIN1,1.1071E-269,0.8208673,0.598,0.434,3.2955E-265,0
TSEN54,3.1092E-269,1.239185601,0.412,0.256,9.2547E-265,0
ANKRD44,5.9663E-269,0.399600034,0.956,0.903,1.7759E-264,0
HAVCR2,7.4784E-269,1.041114779,0.566,0.44,2.226E-264,0
MECP2,8.649E-268,0.721763028,0.744,0.696,2.5745E-263,0
TSPAN5,4.0462E-267,0.778761098,0.582,0.404,1.2044E-262,0
VPS13C,1.2156E-266,0.466366607,0.881,0.832,3.6182E-262,0
ODF2L,1.4645E-266,0.860087729,0.588,0.439,4.3593E-262,0
YES1,2.7645E-266,0.783383293,0.558,0.387,8.2288E-262,0
PRMT2,5.2182E-266,0.566831473,0.788,0.734,1.5532E-261,0
SPATA13,5.409E-266,0.70895962,0.704,0.597,1.61E-261,0
AC022075.1,4.3405E-265,1.04877733,0.337,0.176,1.292E-260,0
SPN,1.1249E-264,0.639508204,0.724,0.605,3.3485E-260,0
STIM2,2.562E-263,0.674295481,0.733,0.65,7.626E-259,0
BRD1,3.8978E-261,1.048550078,0.582,0.476,1.1602E-256,0
OSBPL3,1.3683E-260,0.715659304,0.657,0.506,4.073E-256,0
ANKRD11,1.6532E-259,0.389980295,0.902,0.89,4.921E-255,0
CD38,9.0061E-259,0.679161215,0.647,0.479,2.6807E-254,0
XRN1,1.0441E-258,0.412908825,0.883,0.87,3.1078E-254,0
ZNF831,2.3253E-258,0.923565347,0.49,0.319,6.9216E-254,0
USP24,4.3812E-258,0.624380061,0.753,0.676,1.3041E-253,0
IKZF1,6.2472E-258,0.414033369,0.918,0.858,1.8595E-253,0
BCL9L,3.9888E-257,1.066278123,0.471,0.322,1.1873E-252,0
DNAJB14,7.5393E-256,0.668916381,0.737,0.673,2.2442E-251,0
ATG16L1,7.3105E-253,0.847805141,0.602,0.472,2.176E-248,0
ARHGAP10,8.4396E-253,0.981244516,0.512,0.359,2.5121E-248,0
SRRM2,2.6113E-252,0.458496018,0.895,0.847,7.7728E-248,0
TRANK1,5.3769E-252,0.750710015,0.648,0.541,1.6005E-247,0
CDC25B,1.8468E-251,0.764892203,0.565,0.392,5.4971E-247,0
RSF1,6.2843E-251,0.524035039,0.811,0.772,1.8706E-246,0
FUT8,7.4655E-251,0.638772859,0.717,0.574,2.2222E-246,0
ZCCHC17,1.5564E-250,0.839349836,0.573,0.455,4.6327E-246,0
MAF,3.1498E-250,0.918511997,0.37,0.209,9.3757E-246,0
KMT2A,1.7433E-249,0.610367517,0.777,0.697,5.1892E-245,0
ACTN4,2.4929E-249,0.573252851,0.76,0.665,7.4204E-245,0
JAK1,6.0412E-249,0.313637908,0.908,0.897,1.7982E-244,0
TPST2,5.3625E-247,0.590282213,0.653,0.532,1.5962E-242,0
MBP,9.2443E-247,0.473577358,0.897,0.848,2.7517E-242,0
GIMAP7,2.259E-246,0.453308053,0.861,0.693,6.7241E-242,0
PCM1,1.1545E-245,0.519283432,0.817,0.76,3.4364E-241,0
PREX1,4.1765E-245,0.416956907,0.839,0.776,1.2432E-240,0
IL2RB,7.8169E-244,0.263928467,0.508,0.322,2.3268E-239,0
SSBP4,1.3565E-242,0.825557337,0.654,0.542,4.0377E-238,0
RORA-AS1,4.423E-241,0.981649916,0.498,0.343,1.3165E-236,0
ZBTB1,5.1783E-241,0.761760953,0.681,0.592,1.5414E-236,0
IGF2R,1.7945E-240,0.569887047,0.768,0.702,5.3416E-236,0
ESR2,1.0496E-239,1.007892321,0.437,0.276,3.1242E-235,0
TCF25,1.7342E-239,0.570681615,0.812,0.775,5.1621E-235,0
LRRC8C,2.6588E-239,0.761418256,0.721,0.651,7.9143E-235,0
AC010609.1,9.3667E-239,1.054010208,0.416,0.257,2.7881E-234,0
CD70,3.0221E-238,1.301844577,0.31,0.165,8.9955E-234,0
PLAAT4,1.3033E-234,0.547260036,0.814,0.717,3.8795E-230,0
EIF4G3,7.8514E-234,0.420541807,0.86,0.789,2.3371E-229,0
SYNRG,5.0542E-232,0.612106631,0.741,0.679,1.5044E-227,0
TNRC6B,5.3827E-232,0.379964282,0.901,0.865,1.6022E-227,0
HCST,5.7686E-232,0.531566899,0.839,0.751,1.7171E-227,0
PPP6R2,6.2986E-228,0.706100187,0.724,0.671,1.8749E-223,0
STIM1,5.5936E-227,0.501369194,0.81,0.763,1.665E-222,0
TRPC4AP,7.6482E-227,0.721276324,0.688,0.623,2.2766E-222,0
HLA-A,2.5258E-225,0.319434826,0.997,0.973,7.5184E-221,0
FAM172A,1.085E-224,0.477941246,0.858,0.818,3.2295E-220,0
KLRC1,2.1319E-224,0.660051675,0.384,0.219,6.3458E-220,0
MAPRE2,3.3036E-224,0.765207047,0.607,0.496,9.8335E-220,0
RPS4Y1,1.8143E-223,0.433655717,0.696,0.504,5.4003E-219,0
RBM39,7.5268E-223,0.325193577,0.938,0.912,2.2404E-218,0
NLRP1,1.6662E-222,0.635533382,0.734,0.662,4.9597E-218,0
PARP15,3.873E-222,0.813269947,0.517,0.369,1.1528E-217,0
CDK6,4.519E-222,0.458472723,0.692,0.533,1.3451E-217,0
TENT5C,5.1362E-222,0.905915689,0.416,0.262,1.5288E-217,0
CYTOR,1.1928E-219,0.487070975,0.734,0.584,3.5504E-215,0
SH2D2A,1.7317E-217,1.107020369,0.395,0.252,5.1544E-213,0
SH3KBP1,1.4605E-216,0.343283679,0.914,0.878,4.3473E-212,0
APOBEC3H,2.4528E-216,1.20756601,0.323,0.187,7.301E-212,0
CCL3,1.3659E-215,1.022133759,0.298,0.16,4.0656E-211,0
ARID1B,7.547E-215,0.35755706,0.911,0.872,2.2464E-210,0
LINC01934,1.333E-214,0.665887044,0.502,0.342,3.9679E-210,0
ARID4B,4.9532E-212,0.339024603,0.905,0.894,1.4744E-207,0
ANKRD12,6.5952E-212,0.326025385,0.922,0.897,1.9631E-207,0
TIGIT,4.0996E-211,0.888849575,0.354,0.206,1.2203E-206,0
DENND4C,9.7233E-209,0.629863431,0.713,0.639,2.8942E-204,0
AAK1,1.3297E-207,0.344446165,0.881,0.84,3.958E-203,0
SEL1L3,1.7459E-207,0.820864469,0.504,0.362,5.1967E-203,0
SMC6,3.3257E-207,0.726519804,0.612,0.496,9.8992E-203,0
TAOK3,3.6133E-204,0.354743755,0.893,0.873,1.0755E-199,0
CD27,1.3394E-203,0.584495279,0.518,0.348,3.9869E-199,0
CD47,2.1912E-203,0.433351063,0.816,0.773,6.5223E-199,0
WNK1,1.387E-202,0.42936413,0.84,0.805,4.1286E-198,0
ABHD17B,1.6335E-202,0.822407541,0.515,0.388,4.8623E-198,0
BRWD1,4.2954E-202,0.585932265,0.729,0.676,1.2786E-197,0
CCR5,3.2412E-201,1.213007273,0.31,0.181,9.6479E-197,0
CTSC,8.5211E-201,0.507489237,0.809,0.74,2.5364E-196,0
SKAP1-AS1,2.7983E-200,1.030065252,0.374,0.233,8.3294E-196,0
CAPN2,4.1011E-200,0.490434063,0.735,0.647,1.2207E-195,0
SRSF11,5.8259E-199,0.419087108,0.856,0.816,1.7341E-194,0
GPR174,6.7727E-199,0.893873086,0.49,0.351,2.016E-194,0
NSD3,1.3101E-198,0.435352366,0.815,0.767,3.8996E-194,0
GPATCH8,1.6704E-198,0.513291816,0.79,0.762,4.9722E-194,0
MRPL10,2.4351E-198,1.187326027,0.398,0.278,7.2483E-194,0
ISG20,5.6708E-198,0.441786798,0.8,0.674,1.688E-193,0
NOP53,1.3514E-197,0.465334863,0.805,0.717,4.0226E-193,0
MFSD6,5.9682E-196,0.822548247,0.555,0.438,1.7765E-191,0
KANSL1,6.0436E-196,0.389418024,0.865,0.839,1.7989E-191,0
DPP4,7.0004E-196,0.822478317,0.42,0.27,2.0837E-191,0
MSN,2.5117E-195,0.318540401,0.866,0.859,7.4763E-191,0
GLS,4.9975E-194,0.492210008,0.805,0.759,1.4876E-189,0
WAKMAR2,2.6746E-192,1.064617138,0.328,0.195,7.9613E-188,0
ARPC5L,8.878E-192,0.63277475,0.661,0.547,2.6426E-187,0
ZFP36L2,1.3637E-191,0.452842345,0.877,0.814,4.0591E-187,0
KMT2E,5.641E-191,0.390642322,0.86,0.857,1.6791E-186,0
MAP4K5,2.2393E-190,0.686733009,0.613,0.511,6.6656E-186,0
ANKRD36C,4.6962E-190,0.681350744,0.57,0.433,1.3979E-185,0
LUC7L3,1.1612E-189,0.395361664,0.852,0.814,3.4564E-185,0
PAFAH2,1.267E-189,1.238439407,0.278,0.156,3.7712E-185,0
NCKAP1L,9.0573E-189,0.526055951,0.753,0.718,2.696E-184,0
APOBEC3C,2.5605E-188,0.72081609,0.587,0.479,7.6214E-184,0
SNRK,3.4304E-188,0.590701911,0.713,0.667,1.0211E-183,0
GFI1,8.298E-188,1.368119385,0.256,0.139,2.47E-183,0
KAT6A,1.8844E-187,0.472726307,0.801,0.784,5.609E-183,0
GOLGB1,2.8635E-187,0.637482212,0.693,0.655,8.5233E-183,0
ATM,3.8341E-187,0.382168861,0.829,0.767,1.1413E-182,0
TMX4,5.0008E-187,0.715542818,0.596,0.507,1.4885E-182,0
PLEKHF1,2.1772E-186,1.295799929,0.294,0.171,6.4805E-182,0
ATP9B,9.9006E-184,0.569440199,0.742,0.707,2.947E-179,0
AGPAT4,1.0239E-183,0.854828702,0.497,0.37,3.0477E-179,0
CUL4A,1.5294E-183,0.756314394,0.614,0.544,4.5524E-179,0
ZBTB49,1.5666E-183,1.301091166,0.284,0.166,4.6633E-179,0
TTC14,6.3182E-183,0.657769238,0.666,0.607,1.8807E-178,0
INPP4B,4.5069E-182,0.451132352,0.571,0.403,1.3415E-177,0
