"ENSEMBL","fc","adj.P.Val"
"ENSG00000164687",-4.47550230847604,2.17391813616648e-07
"ENSG00000204385",5.81667624903996,2.17391813616648e-07
"ENSG00000012124",-7.05301609224794,2.17391813616648e-07
"ENSG00000131721",5.1575027990115,2.13921332339113e-07
"ENSG00000268119",6.46468382303498,2.18125068302577e-07
"ENSG00000106327",5.08674396719235,2.17391813616648e-07
"ENSG00000136286",-9.10947632619743,2.18125068302577e-07
"ENSG00000141744",8.19246423193682,2.18125068302577e-07
"ENSG00000119866",-7.96562142333488,2.18125068302577e-07
"ENSG00000076554",-20.4456906929474,2.13921332339113e-07
"ENSG00000152818",-17.0802877522069,2.17391813616648e-07
"ENSG00000010278",-13.3701548652827,2.19939709084316e-07
"ENSG00000168685",-22.8963078309788,2.17391813616648e-07
"ENSG00000168961",-5.57515524046855,2.22245534760416e-07
"ENSG00000128283",4.56327193092192,2.19939709084316e-07
"ENSG00000211978",-25.3304771828046,1.87160905714356e-07
"ENSG00000182247",-14.5791466710335,2.17391813616648e-07
"ENSG00000240583",11.5550373283541,2.31855113025839e-07
"ENSG00000173020",-4.31023726753429,2.2610406033621e-07
"ENSG00000162676",-14.6046398512225,2.17391813616648e-07
"ENSG00000168394",-7.4283657088654,2.42644867969392e-07
"ENSG00000130508",-13.7652797710773,2.42857927812336e-07
"ENSG00000145287",-23.2431680226374,2.13921332339113e-07
"ENSG00000101445",-15.0012531989814,2.32575643536879e-07
"ENSG00000153551",-7.00747232270764,2.46239083636743e-07
"ENSG00000128805",6.24310694866515,2.46239083636743e-07
"ENSG00000123405",7.1958731633497,2.42644867969392e-07
"ENSG00000166428",-7.50544978664981,2.48846193090044e-07
"ENSG00000143847",-7.4537954569815,2.50697522796825e-07
"ENSG00000100968",-6.12713682192427,2.60863057607228e-07
"ENSG00000185686",3.89506644777392,2.46239083636743e-07
"ENSG00000137101",-8.25420420288736,2.61500222780024e-07
"ENSG00000234964",-4.83646222765261,2.60863057607228e-07
"ENSG00000272405",8.31919293826355,2.64503454117535e-07
"ENSG00000122378",-11.9024731634915,2.65972011345828e-07
"ENSG00000124785",-29.7470878415094,2.46239083636743e-07
"ENSG00000158517",-8.74502504932729,2.78717453996341e-07
"ENSG00000211899",-5.5390327533283,2.60863057607228e-07
"ENSG00000175097",-51.4259109015867,2.0200005382285e-07
"ENSG00000132274",-16.6986373024618,2.65972011345828e-07
"ENSG00000187210",-27.1175430802666,2.18125068302577e-07
"ENSG00000089486",-11.2573697628947,2.86344268109594e-07
"ENSG00000134853",-27.9969252879814,2.6631108219414e-07
"ENSG00000100379",-5.95381810055258,2.91945885357898e-07
"ENSG00000281649",-6.98798217937135,2.93952556875799e-07
"ENSG00000164877",7.3259745215962,2.90577330767252e-07
"ENSG00000160179",-23.598791337943,2.64503454117535e-07
"ENSG00000186517",-13.4856917477892,2.95807151339246e-07
"ENSG00000131037",6.38244623787875,2.97147854217663e-07
"ENSG00000128322",-8.21420933688452,2.91945885357898e-07
"ENSG00000167613",-8.3782034738714,3.02086692208677e-07
"ENSG00000161267",-16.2628039570208,2.96595379525413e-07
"ENSG00000090097",-7.20463878840401,3.02100381646295e-07
"ENSG00000003436",8.28536009325502,3.02086692208677e-07
"ENSG00000100364",-4.99240268794726,3.02086692208677e-07
"ENSG00000135185",-7.61249455466979,3.04380954758753e-07
"ENSG00000176438",-16.7690051165221,3.04380954758753e-07
"ENSG00000068366",-8.97499014315077,3.04380954758753e-07
"ENSG00000125354",-4.07248525383807,3.02100381646295e-07
"ENSG00000288722",-19.1523094432646,3.02100381646295e-07
"ENSG00000288709",-20.2003875519631,2.98032711827961e-07
"ENSG00000223865",-6.70064356376438,3.057071879772e-07
"ENSG00000115255",4.02707000843419,3.02086692208677e-07
"ENSG00000105369",-5.20356473479749,3.04380954758753e-07
"ENSG00000129824",-9.02961071949124,3.06357210369444e-07
"ENSG00000130294",4.82168965806328,3.04380954758753e-07
"ENSG00000115652",-8.03729979224878,3.06357210369444e-07
"ENSG00000146094",-4.36744440230457,3.057071879772e-07
"ENSG00000211679",-4.75332143279566,3.06357210369444e-07
"ENSG00000128284",-17.3421385603085,3.06357210369444e-07
"ENSG00000172578",-30.9714416737701,2.78717453996341e-07
"ENSG00000171608",-6.41308464397866,3.06357210369444e-07
"ENSG00000204710",8.19285718220559,3.09873549849562e-07
"ENSG00000038382",-8.56889922742187,3.12695955926539e-07
"ENSG00000140995",4.8327925976535,3.09873549849562e-07
"ENSG00000227051",-13.1165412834125,3.09873549849562e-07
"ENSG00000168528",-9.24182946353079,3.14436663758518e-07
"ENSG00000211666",-6.13465882217907,3.06357210369444e-07
"ENSG00000182054",-3.38171393315927,3.06357210369444e-07
"ENSG00000164626",6.53986161237967,3.1863190447368e-07
"ENSG00000152556",-4.56476489381901,3.14436663758518e-07
"ENSG00000087086",3.49332177954452,3.06357210369444e-07
"ENSG00000113719",-5.98321908237197,3.14436663758518e-07
"ENSG00000115165",-18.723663289757,3.04380954758753e-07
"ENSG00000162639",-16.9683044732584,3.14748132032489e-07
"ENSG00000228594",4.77052493944354,3.29598837486934e-07
"ENSG00000160606",6.57364959092642,3.37280016934886e-07
"ENSG00000110031",-13.5633918146648,3.29857587188103e-07
"ENSG00000277150",-19.8937981828843,3.29857587188103e-07
"ENSG00000213563",4.9663088566882,3.40436834721219e-07
"ENSG00000175866",6.08781611036908,3.48956953879782e-07
"ENSG00000141447",-15.6207474549223,3.09873549849562e-07
"ENSG00000182871",5.50275396001664,3.36283797646377e-07
"ENSG00000156381",6.36267342081029,3.52569896450521e-07
"ENSG00000185559",3.827138537052,3.29857587188103e-07
"ENSG00000116157",-24.5671014064964,3.04380954758753e-07
"ENSG00000234975",6.40706573646629,3.5623012478337e-07
"ENSG00000132334",-21.1315650120416,3.06357210369444e-07
"ENSG00000102879",-7.99398598517112,3.44369094309136e-07
"ENSG00000184916",5.6592602650987,3.5623012478337e-07
"ENSG00000154856",-14.32120794818,3.29857587188103e-07
"ENSG00000184009",-3.2308827565404,3.29857587188103e-07
"ENSG00000050767",10.430383439698,3.63359312077468e-07
"ENSG00000197119",-5.46992648400807,3.63359312077468e-07
"ENSG00000176014",4.40842739181636,3.44369094309136e-07
"ENSG00000135047",6.03050322959379,3.62166330161441e-07
"ENSG00000163975",7.0009889972488,3.64797671491552e-07
"ENSG00000129946",8.54188415856685,3.64797671491552e-07
"ENSG00000138795",-12.7746302962486,3.64797671491552e-07
"ENSG00000001036",4.65184107528154,3.63572713192088e-07
